date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-05-23,35,28,0.0,12.1,7,56,12:36 PM,12:41 AM,04:53 AM,06:13 PM,24,36,36,31,26,45,66,1.6,1005,35,10,186,20,Kolkata
2018-05-24,37,28,0.0,13.6,8,63,01:33 PM,01:23 AM,04:53 AM,06:13 PM,24,38,38,32,27,22,63,0.0,1004,37,10,190,21,Kolkata
2018-05-25,37,29,0.0,13.6,7,70,02:28 PM,02:03 AM,04:53 AM,06:14 PM,24,39,39,33,28,27,62,1.7,1003,37,10,192,22,Kolkata
2018-05-26,39,29,0.0,13.6,8,78,03:23 PM,02:41 AM,04:53 AM,06:14 PM,24,39,39,33,28,16,62,0.0,1004,39,10,191,22,Kolkata
2018-05-27,39,29,0.0,13.6,9,85,04:16 PM,03:20 AM,04:52 AM,06:15 PM,23,39,39,33,25,14,58,0.0,1004,39,10,189,20,Kolkata
2018-05-28,39,29,0.0,13.6,9,92,05:10 PM,03:59 AM,04:52 AM,06:15 PM,22,38,38,33,23,11,55,0.2,1002,39,10,184,18,Kolkata
2018-05-29,38,30,0.0,13.6,9,99,06:04 PM,04:40 AM,04:52 AM,06:16 PM,23,39,39,33,18,25,56,0.0,1001,38,10,164,15,Kolkata
2018-05-30,39,30,0.0,13.6,9,100,06:56 PM,05:24 AM,04:52 AM,06:16 PM,24,40,40,34,19,22,60,0.1,1002,39,10,189,16,Kolkata
2018-05-31,38,30,0.0,13.3,8,89,07:47 PM,06:08 AM,04:52 AM,06:17 PM,25,41,41,33,23,39,62,0.0,1004,38,10,181,18,Kolkata
2018-06-01,37,30,0.0,12.1,7,74,08:36 PM,06:56 AM,04:52 AM,06:17 PM,24,39,39,33,16,42,63,7.7,1005,37,9,178,12,Kolkata
2018-06-02,36,30,0.0,13.3,7,67,09:23 PM,07:45 AM,04:51 AM,06:17 PM,23,38,38,33,15,38,58,0.0,1005,36,10,170,12,Kolkata
