date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-11-30,28,15,0.0,8.7,6,100,05:37 PM,06:41 AM,06:58 AM,05:33 PM,3,21,21,21,5,0,34,0.0,1017,28,10,231,3,Jaipur
2020-12-01,30,17,0.0,8.7,7,89,06:20 PM,07:37 AM,06:59 AM,05:33 PM,1,22,22,23,6,0,25,0.0,1017,30,10,118,3,Jaipur
2020-12-02,29,17,0.0,8.7,6,82,07:09 PM,08:32 AM,06:59 AM,05:33 PM,1,22,22,22,9,0,25,0.0,1016,29,10,227,5,Jaipur
2020-12-03,30,17,0.0,8.7,7,75,08:02 PM,09:27 AM,07:00 AM,05:33 PM,1,22,22,23,5,0,25,0.0,1014,30,10,139,3,Jaipur
2020-12-04,29,18,0.0,8.7,6,67,08:59 PM,10:18 AM,07:01 AM,05:33 PM,-1,22,22,23,9,0,23,0.0,1012,29,10,191,6,Jaipur
2020-12-05,30,18,0.0,8.7,7,60,09:59 PM,11:05 AM,07:02 AM,05:33 PM,-0,23,23,23,8,0,23,0.0,1012,30,10,236,5,Jaipur
2020-12-06,31,18,0.0,8.7,7,53,10:59 PM,11:49 AM,07:02 AM,05:34 PM,4,23,23,24,8,1,29,0.0,1015,31,10,210,4,Jaipur
2020-12-07,30,18,0.0,8.7,7,46,No moonrise,12:29 PM,07:03 AM,05:34 PM,2,23,23,23,14,0,25,0.0,1017,30,10,171,8,Jaipur
2020-12-08,29,18,0.0,8.7,7,38,12:00 AM,01:07 PM,07:04 AM,05:34 PM,5,23,23,23,11,0,33,0.0,1016,29,10,159,6,Jaipur
2020-12-09,29,18,0.0,8.7,6,31,01:02 AM,01:44 PM,07:04 AM,05:34 PM,7,22,22,22,10,1,40,0.0,1015,29,10,174,6,Jaipur
2020-12-10,27,18,0.0,8.7,6,24,02:04 AM,02:20 PM,07:05 AM,05:34 PM,6,22,22,22,18,1,36,0.0,1015,27,10,92,10,Jaipur
2020-12-11,27,17,0.0,8.7,6,17,03:08 AM,02:59 PM,07:06 AM,05:35 PM,8,21,21,21,23,15,46,0.0,1014,27,10,133,14,Jaipur
2020-12-12,25,17,0.0,8.7,6,9,04:14 AM,03:41 PM,07:06 AM,05:35 PM,12,20,20,20,16,37,64,2.3,1014,25,10,178,10,Jaipur
2020-12-13,23,14,0.0,8.7,5,2,05:23 AM,04:27 PM,07:07 AM,05:35 PM,4,17,18,17,23,6,42,0.0,1016,23,10,165,13,Jaipur
2020-12-14,22,13,0.0,8.7,5,0,06:31 AM,05:20 PM,07:08 AM,05:36 PM,3,16,17,16,17,10,40,0.0,1016,22,10,53,9,Jaipur
2020-12-15,22,13,0.0,8.7,5,0,07:40 AM,06:18 PM,07:08 AM,05:36 PM,3,16,17,16,23,20,39,0.0,1018,22,10,74,13,Jaipur
2020-12-16,20,13,0.0,8.7,5,5,08:43 AM,07:20 PM,07:09 AM,05:36 PM,0,15,16,15,24,7,36,0.0,1021,20,10,36,13,Jaipur
